zip_code,count,year,longitude,latitude
78610,3,2018,-97.8534,30.0918
78610,13,2019,-97.8534,30.0918
78610,9,2020,-97.8534,30.0918
78612,1,2018,-97.4976,30.0966
78612,1,2019,-97.4976,30.0966
78613,557,2018,-97.8203,30.5052
78613,515,2019,-97.8203,30.5052
78613,417,2020,-97.8203,30.5052
78617,885,2018,-97.6134,30.1745
78617,842,2019,-97.6134,30.1745
78617,780,2020,-97.6134,30.1745
78640,1,2019,-97.8335,29.9966
78641,2,2018,-97.8575,30.5835
78641,2,2019,-97.8575,30.5835
78641,1,2020,-97.8575,30.5835
78645,1,2019,-97.9669,30.449
78652,36,2018,-97.8393,30.1238
78652,50,2019,-97.8393,30.1238
78652,55,2020,-97.8393,30.1238
78653,141,2018,-97.5323,30.3388
78653,181,2019,-97.5323,30.3388
78653,193,2020,-97.5323,30.3388
78660,601,2018,-97.6299,30.4421
78660,851,2019,-97.6299,30.4421
78660,825,2020,-97.6299,30.4421
78664,2,2018,-97.668,30.5145
78664,7,2019,-97.668,30.5145
78664,3,2020,-97.668,30.5145
78681,4,2018,-97.6789,30.5083
78681,6,2019,-97.6789,30.5083
78681,6,2020,-97.6789,30.5083
78701,6802,2018,-97.7426,30.2713
78701,7777,2019,-97.7426,30.2713
78701,5285,2020,-97.7426,30.2713
78702,4724,2018,-97.7166,30.2638
78702,4693,2019,-97.7166,30.2638
78702,4119,2020,-97.7166,30.2638
78703,1547,2018,-97.7648,30.2907
78703,1466,2019,-97.7648,30.2907
78703,1485,2020,-97.7648,30.2907
78704,6382,2018,-97.7658,30.2428
78704,6688,2019,-97.7658,30.2428
78704,6286,2020,-97.7658,30.2428
78705,2055,2018,-97.7396,30.2896
78705,2363,2019,-97.7396,30.2896
78705,2590,2020,-97.7396,30.2896
78712,16,2018,-97.7354,30.2852
78712,20,2019,-97.7354,30.2852
78712,10,2020,-97.7354,30.2852
78717,876,2018,-97.7472,30.506
78717,898,2019,-97.7472,30.506
78717,954,2020,-97.7472,30.506
78719,654,2018,-97.6667,30.1802
78719,594,2019,-97.6667,30.1802
78719,359,2020,-97.6667,30.1802
78721,1733,2018,-97.6868,30.2721
78721,1936,2019,-97.6868,30.2721
78721,1802,2020,-97.6868,30.2721
78722,767,2018,-97.715,30.2893
78722,758,2019,-97.715,30.2893
78722,686,2020,-97.715,30.2893
78723,5564,2018,-97.6849,30.3085
78723,5532,2019,-97.6849,30.3085
78723,5412,2020,-97.6849,30.3085
78724,1790,2018,-97.6396,30.296
78724,1901,2019,-97.6396,30.296
78724,1676,2020,-97.6396,30.296
78725,149,2018,-97.6243,30.2562
78725,181,2019,-97.6243,30.2562
78725,205,2020,-97.6243,30.2562
78726,604,2018,-97.8326,30.43
78726,620,2019,-97.8326,30.43
78726,655,2020,-97.8326,30.43
78727,1581,2018,-97.7195,30.4254
78727,1669,2019,-97.7195,30.4254
78727,1706,2020,-97.7195,30.4254
78728,55,2018,-97.6811,30.4417
78728,70,2019,-97.6811,30.4417
78728,68,2020,-97.6811,30.4417
78729,1696,2018,-97.7688,30.4521
78729,1808,2019,-97.7688,30.4521
78729,1724,2020,-97.7688,30.4521
78730,206,2018,-97.8241,30.3607
78730,206,2019,-97.8241,30.3607
78730,253,2020,-97.8241,30.3607
78731,1181,2018,-97.7609,30.3471
78731,1313,2019,-97.7609,30.3471
78731,1598,2020,-97.7609,30.3471
78732,8,2018,-97.9007,30.3752
78732,18,2019,-97.9007,30.3752
78732,24,2020,-97.9007,30.3752
78733,6,2018,-97.8666,30.3314
78733,7,2019,-97.8666,30.3314
78733,8,2020,-97.8666,30.3314
78734,1,2018,-97.9427,30.3705
78734,3,2019,-97.9427,30.3705
78734,1,2020,-97.9427,30.3705
78735,794,2018,-97.8414,30.249
78735,842,2019,-97.8414,30.249
78735,875,2020,-97.8414,30.249
78736,229,2018,-97.916,30.2444
78736,250,2019,-97.916,30.2444
78736,287,2020,-97.916,30.2444
78737,8,2018,-97.9427,30.2107
78737,11,2019,-97.9427,30.2107
78737,9,2020,-97.9427,30.2107
78738,3,2018,-97.9824,30.3337
78738,1,2019,-97.9824,30.3337
78738,1,2020,-97.9824,30.3337
78739,294,2018,-97.8784,30.172
78739,290,2019,-97.8784,30.172
78739,297,2020,-97.8784,30.172
78741,8010,2018,-97.7223,30.2315
78741,7983,2019,-97.7223,30.2315
78741,7770,2020,-97.7223,30.2315
78742,141,2018,-97.6703,30.2313
78742,134,2019,-97.6703,30.2313
78742,145,2020,-97.6703,30.2313
78744,5617,2018,-97.7472,30.1876
78744,5804,2019,-97.7472,30.1876
78744,5409,2020,-97.7472,30.1876
78745,6351,2018,-97.7956,30.2063
78745,6365,2019,-97.7956,30.2063
78745,6081,2020,-97.7956,30.2063
78746,1474,2018,-97.8181,30.2971
78746,1508,2019,-97.8181,30.2971
78746,999,2020,-97.8181,30.2971
78747,723,2018,-97.7433,30.1204
78747,830,2019,-97.7433,30.1204
78747,848,2020,-97.7433,30.1204
78748,3472,2018,-97.8225,30.1743
78748,3645,2019,-97.8225,30.1743
78748,3525,2020,-97.8225,30.1743
78749,1829,2018,-97.8508,30.2166
78749,1784,2019,-97.8508,30.2166
78749,1886,2020,-97.8508,30.2166
78750,1242,2018,-97.7967,30.4224
78750,1392,2019,-97.7967,30.4224
78750,1352,2020,-97.7967,30.4224
78751,2441,2018,-97.7242,30.3093
78751,2673,2019,-97.7242,30.3093
78751,2692,2020,-97.7242,30.3093
78752,3417,2018,-97.7004,30.3316
78752,3573,2019,-97.7004,30.3316
78752,3217,2020,-97.7004,30.3316
78753,7718,2018,-97.6827,30.3649
78753,8441,2019,-97.6827,30.3649
78753,8362,2020,-97.6827,30.3649
78754,1249,2018,-97.6673,30.3423
78754,1376,2019,-97.6673,30.3423
78754,1600,2020,-97.6673,30.3423
78756,708,2018,-97.739,30.3223
78756,829,2019,-97.739,30.3223
78756,895,2020,-97.739,30.3223
78757,2446,2018,-97.7316,30.3437
78757,2520,2019,-97.7316,30.3437
78757,2693,2020,-97.7316,30.3437
78758,7351,2018,-97.7078,30.3764
78758,8473,2019,-97.7078,30.3764
78758,8088,2020,-97.7078,30.3764
78759,3171,2018,-97.7526,30.4036
78759,3327,2019,-97.7526,30.4036
78759,3354,2020,-97.7526,30.4036
